Transaction Date, Posting Date, Billing Amount, Merchant, Merchant City , Merchant State , Merchant Zip , Reference Number , Debit/Credit Flag , SICMCC Code
12/2/16,12/2/16,($771.95),PAYMENT RECEIVED -- THANK,YOU,,," ""80000001369""",C,0
12/2/16,12/2/16,$10.31 ,INTEREST CHARGE-PURCHASES,,,," """"",D,0
12/2/16,12/2/16,$0.02 ,INTEREST CHARGE-FEE,,,," """"",D,0
12/1/16,12/1/16,$25.00 ,LATE PAYMENT FEE,,,," """"",D,0
11/30/16,12/2/16,$18.25 ,RED ROSE RESTAURANT,LOWELL,MA,1851," ""24207856336204601118531""",D,5812
11/29/16,11/30/16,$3.80 ,ARAMARK UML MARKETPLACE,LOWELL,MA,1854," ""24755426335733358223366""",D,5814
11/28/16,11/29/16,$2.00 ,RPS OF LOWELL ONSTREET ME,LOWELL,MA,1852," ""24755426334123345258603""",D,7523
11/27/16,11/28/16,$32.85 ,MARKET BASKET 00000190,LOWELL,MA,1851," ""24164076332433001584402""",D,5411
11/25/16,11/28/16,$33.04 ,CUMBERLAND FA 91187210,CHELMSFORD,MA,1824," ""24231686331837006778262""",D,5542
11/23/16,11/25/16,$8.29 ,ANGELINAS PIZZERIA AND SU,LOWELL,MA,1851," ""24828246329080080298131""",D,5812
11/23/16,12/2/16,$35.00 ,C P T AUTO BODY,LOWELL,MA,1851," ""24019516336864500233687""",D,7538
11/22/16,11/23/16,$2.00 ,RPS OF LOWELL ONSTREET ME,LOWELL,MA,1852," ""24755426328123285698782""",D,7523
11/21/16,11/21/16,$41.52 ,CHEESECAKE BURLINGTON,BURLINGTON,MA,1803," ""24431066326400469000870""",D,5812
11/21/16,11/23/16,$9.10 ,ANGELINAS PIZZERIA AND SU,LOWELL,MA,1851," ""24828246327080080274456""",D,5812
11/19/16,11/21/16,$30.74 ,1981 RAMEN BAR LLC,LOWELL,MA,1852," ""24431066325091981000455""",D,5812
11/19/16,11/21/16,$50.00 ,MERRIMACK REP THTR,978-654-4678,MA,1852," ""24492156324894065223745""",D,8641
11/17/16,11/18/16,$2.00 ,RPS OF LOWELL ONSTREET ME,LOWELL,MA,1852," ""24755426323123236167254""",D,7523
11/17/16,11/18/16,$27.50 ,CHINA STAR,LOWELL,MA,1851," ""24275396323009798773652""",D,5812
11/16/16,11/17/16,$2.00 ,RPS OF LOWELL ONSTREET ME,LOWELL,MA,1852," ""24755426322123225424915""",D,7523
11/15/16,11/15/16,$9.00 ,EGYPTIAN GRILL,LOWELL,MA,1854," ""24431066320091048000345""",D,5814
11/15/16,11/17/16,$8.29 ,ANGELINAS PIZZERIA AND SU,LOWELL,MA,1851," ""24828246321080080219374""",D,5812
11/14/16,11/15/16,$32.91 ,SPEEDWAY 02468,LOWELL,MA,1854," ""24224436320103006423165""",D,5542
11/13/16,11/14/16,$38.16 ,MARKET BASKET 00000190,LOWELL,MA,1851," ""24164076318433001348491""",D,5411
11/12/16,11/14/16,$13.03 ,SENMONOROM RESTAURANT,LOWELL,MA,1851," ""24055236317400058000161""",D,5812
11/12/16,11/14/16,$12.50 ,SHOWCASE CINEMAS,LOWELL,MA,1851," ""24445006318000752241700""",D,7832
11/12/16,11/14/16,$10.75 ,SHOWCASE CINEMAS LOWELL,LOWELL,MA,1851," ""24445006318500689933725""",D,5812
11/10/16,11/11/16,$2.00 ,RPS OF LOWELL ONSTREET ME,LOWELL,MA,1852," ""24755426316123166491251""",D,7523
11/10/16,11/14/16,$7.24 ,DUNKIN #343119     Q35,LOWELL,MA,1853," ""24610436316072002247399""",D,5814
11/9/16,11/10/16,$9.92 ,WENDY'S #8236,LOWELL,MA,1851," ""24445006314500541530150""",D,5814
11/9/16,11/11/16,$10.69 ,DOMINO'S 3771,LOWELL,MA,1854," ""24445006315500533485826""",D,5814
11/8/16,11/8/16,$10.50 ,EGYPTIAN GRILL,LOWELL,MA,1854," ""24431066313091049000202""",D,5814
11/8/16,11/9/16,$10.56 ,CHIPOTLE 1373,NASHUA,NH,3060," ""24431066314207888700848""",D,5814
11/8/16,11/9/16,$2.00 ,RPS OF LOWELL ONSTREET ME,LOWELL,MA,1852," ""24755426314123146005801""",D,7523
11/5/16,11/7/16,$1.35 ,NAYAX LLC 7,HUNT VALLEY,MD,21030," ""24013396310000667742722""",D,5814
11/5/16,11/7/16,$11.13 ,BOSTON YUMMY LLC,BOSTON,MA,2115," ""24431066311207488500963""",D,5814
11/5/16,11/7/16,$22.00 ,GAINSBOROUGH GARAGE,BOSTON,MA,2115," ""24247606311500933214744""",D,7523
